Order,Variable,Value,DA_Check,DA_Min,DA_Max,Likely range,Unit,Variable explaination,References,Note 1
1,rdepth,60,0,60,300,,cm,Maximum root depth,,
2,SLA,75,0,10,200,34-124,cm2/g,Specific leaf area,"Reich et al., Oecologia 1998,114: 471-482.",
3,stom_n,2,0,2,2,,unitless,,,1 for amphi leaf; 2 for hypostomatous leaf
4,Ds0,2000,0,1000,4000,1000-4000,Pa,An emperical constant reflecting the sensitivity of stoma to vapor pressure deficit,700-1500 in Leuning 1995; 1500-3500 in Leuning et al. 1995,
5,Vcmax,80,0,10,180,,umol/m2/s,Maximum Vcmax at 25oC,,
6,tau_L,0.4,0,0.1,3,0.2-1.5,yr,Turnover time of leaf,,"Can be changed, likely between 0.2 and 1.5, according to Reich et al., Oecologia 1998,114: 471-482."
7,tau_S,1.5,0,0.1,5,,yr,Turnover time of stem,,
8,tau_R,0.3,0,0.1,6,,yr,Turnover time of root,,
9,tau_F,0.1,0,0.1,0.5,,yr,Maximum turnover time of fine litter,,
10,tau_C,0.8,0,0.5,20,,yr,Maximum turnover time of coarse litter,,
11,tau_Micr,0.1,0,0.05,0.5,,yr,Turnover time of soil active C,,
12,tau_Slow,100,0,5,500,,yr,Turnover time of soil slow-cycling C,,
13,tau_Pass,500,0,500,4000,,yr,Turnover time of soil passive C,,
14,gddonset,100,0,100,200,,oC,Accumulated daily mean temperature need to start growth,,
15,Q10,2,0,1,3,,unitless,Q10 for heterophic respiration,,
16,gcostpro,0.1,0,0.05,0.2,0.05-0.20,unitless,Proportion of GPP used for the production of new tissue,,
17,mresp20(1),0,0,0,0,,gC/gC/h,Mantenance respiratio rate of leaf at 20oC,"Arora, V. K. (2003) ",
18,mresp20(2),0,0,0,0,,gC/gC/h,Mantenance respiratio rate of stem at 20oC,"Arora, V. K. (2003) ",
19,mresp20(3),0,0,0,0,,gC/gC/h,Mantenance respiratio rate of root at 20oC,"Arora, V. K. (2003) ",
20,Q10paccrate(1),0.05,0,0.02,0.1,,oC-1,Accilimation rate of the Q10 of leaf maintenance respiration ,"Atkin and Tjoelker, 2003",
21,Q10paccrate(2),0.05,0,0.02,0.1,,oC-1,Accilimation rate of the Q10 of leaf maintenance respiration ,"Atkin and Tjoelker, 2003",
22,Q10paccrate(3),0.05,0,0.02,0.1,,oC-1,Accilimation rate of the Q10 of leaf maintenance respiration ,"Atkin and Tjoelker, 2003",
23,Topt,300,0,293,310,,K,Optimal temperature (as K) of Vcmax,Medlyn et al. (2002),
24,Ha,60000,0,20000,80000,,J/mol,Energy need for photosynthesis,Medlyn et al. (2002),
25,Hd,200000,0,180000,220000,,J/mol,Energy need for photosynthesis,Medlyn et al. (2002),
26,f_F2M,0.34661484,0,0.1,0.8,,unitless,Fraction of fine litter C transferred to soil microbial C pool,,
27,f_C2M,0.17475176,0,0.1,0.5,,unitless,Fraction of coarse litter C transferred to soil microbial C pool,,
28,f_C2S,0.17910267,0,0.1,0.5,,unitless,Fraction of coarse litter C transferred to soil slow C pool,,
29,f_M2S,0.40584937,0,0.1,0.5,,unitless,Fraction of soil microbial C pool to soil slow C pool,,
30,f_M2P,0.31630984,0,0,0.5,,unitless,Fraction of soil microbial C pool to soil passive C pool,,
31,f_S2P,0.4161931,0,0,0.5,,unitless,Fraction of soil slow C pool to soil passive C pool,,
32,f_S2M,0.21644858,0,0.1,0.5,,unitless,Fraction of soil slow C pool to soil microbial C pool,,
33,f_P2M,0.65258062,0,0.1,0.8,,unitless,Fraction of soil passive C pool to soil microbial C pool,,
34,basew4sresp,0.09678299,0,0.01,0.3,,unitless,Base soil water scaler for soil respiration,,
35,wsmax(1),0.26713994,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
36,wsmax(2),0.25474501,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
37,wsmax(3),0.25779209,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
38,wsmax(4),0.25730443,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
39,wsmax(5),0.19571485,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
40,wsmax(6),0.2495914,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
41,wsmax(7),0.21551463,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
42,wsmax(8),0.15797119,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
43,wsmax(9),0.19292404,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
44,wsmax(10),0.18561853,1,0.14,0.28,0.20-0.32 (at matric potential of -0.01 MPa),cm cm-3,Field water holding capacity,Pockman & Small (2010)  and Bhark (2002),
45,wsmin(1),0.09848924,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
46,wsmin(2),0.09798466,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
47,wsmin(3),0.11037996,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
48,wsmin(4),0.11321351,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
49,wsmin(5),0.06588677,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
50,wsmin(6),0.06252448,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
51,wsmin(7),0.04442286,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
52,wsmin(8),0.08562812,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
53,wsmin(9),0.07303562,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
54,wsmin(10),0.08385697,1,0.04,0.12,0.06-0.09 (at matric potential -1.5 MPa),cm cm-3,Wilting point,Pockman & Small (2010)  and Bhark (2002),
55,watersat(1),0.49323875,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
56,watersat(2),0.31637481,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
57,watersat(3),0.3021408,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
58,watersat(4),0.45252863,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
59,watersat(5),0.49029145,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
60,watersat(6),0.42602006,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
61,watersat(7),0.32382569,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
62,watersat(8),0.43656054,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
63,watersat(9),0.43292367,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
64,watersat(10),0.39623705,1,0.3,0.5,0.32-0.44,cm3 cm-3,Saturated water content,"Thomey et al., 2011, GCB, 17(4),1505-1515; Tse (1997)",
65,waterres(1),0.04425038,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
66,waterres(2),0.04923725,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
67,waterres(3),0.03882641,1,0.01,0.08,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
68,waterres(4),0.05754128,1,0.01,0.08,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
69,waterres(5),0.01594902,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
70,waterres(6),0.02210573,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
71,waterres(7),0.05166694,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
72,waterres(8),0.03250678,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
73,waterres(9),0.0253412,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
74,waterres(10),0.0367861,1,0.01,0.06,0.056-0.068,cm3 cm-3,Residual water content,,"Moreno-de las Heras et al., 2016, Ecology, 97(9),2303-2318l; Tse (1997)"
75,condsat(1),7.90452099,1,0.2,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
76,condsat(2),7.42622471,1,0.1,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
77,condsat(3),7.30523491,1,0.1,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
78,condsat(4),2.3096776,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
79,condsat(5),4.54806376,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
80,condsat(6),1.15303159,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
81,condsat(7),4.21855736,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
82,condsat(8),5.08310223,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
83,condsat(9),2.90161586,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
84,condsat(10),1.44710207,1,0,10,0.6-70,cm h-1,Saturated soil hydrualic conductivity,"Stephens & Knowlton Jr, 1986, Water Resources Research, 22(6), 881-889; Sandvig and Phillips (2006)      ",
85,wlama1,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
86,wlama2,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
87,wlama3,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
88,wlama4,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
89,wlama5,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
90,wlama6,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
91,wlama7,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
92,wlama8,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
93,wlama9,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
94,wlama10,0.66,0,0.5,0.8,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
95,potcof1,152.7467651,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
96,potcof2,148.98526,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
97,potcof3,111.774765,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
98,potcof4,152.7314758,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
99,potcof5,127.7117233,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
100,potcof6,129.9443817,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
101,potcof7,149.0677795,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
102,potcof8,132.7187653,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
103,potcof9,157.5921783,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
104,potcof10,155.6035461,1,100,160,,MPa-1,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Moreno-de las Heras et al. (2016),
105,n_pot1,3.4685092,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
106,n_pot2,1.76342726,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
107,n_pot3,2.06940627,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
108,n_pot4,3.24305224,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
109,n_pot5,1.85269558,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
110,n_pot6,3.33377457,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
111,n_pot7,3.98425794,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
112,n_pot8,2.35261083,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
113,n_pot9,1.52210605,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
114,n_pot10,2.06707525,1,1.09,4,,unitless,Coefficient of calculating water matric potential from soil water content (cm3/cm3),Tse (1997),
115,Cpool1,2.6174221,1,0,20,,gC/m2,Leaf_C_pool,,
116,Cpool2,1,0,0,20,,gC/m2,Stem_C_pool,,
117,Cpool3,41.13070297,1,10,100,,gC/m2,Root_C_pool,,
118,Cpool4,36.52213669,1,10,200,,gC/m2,Fine_litter_C_pool,,
119,Cpool5,50.00839233,1,10,200,,gC/m2,Coarse_litter_C_pool,,
120,Cpool6,38.9225502,1,20,500,,gC/m2,Soil_active C pool,"Sev: microbial C conc = 0.1 mg/g, microbial C content = 10000 cm2 * 100 cm * 1.0 cm3/g * 0.1 mg/g = 100 C g/m2, from Kieft et al. (1998), Ecology",
121,Cpool7,4075.095215,1,2000,8000,,gC/m2,Soil_slow_cycle_C_pool,"Sev: soc conc = 5 mg/g, soc content = 10000 cm2 * 160 cm * 1.5 g/cm3 * 5.0 mg/g / 1000 = 12000 C g/m2, from Kieft et al. (1998), Ecology",
